id,image_url,scientific_name,common_name
9086575,https://inaturalist-open-data.s3.amazonaws.com/photos/12271796/medium.jpg,Argynnis aglaja,Перламутровка Аглая
9086690,https://inaturalist-open-data.s3.amazonaws.com/photos/12271985/medium.jpg,Gonepteryx rhamni,Крушинница
9086693,https://inaturalist-open-data.s3.amazonaws.com/photos/12272010/medium.jpg,Leptotes pirithous,Голубянка пирифой
9088423,https://inaturalist-open-data.s3.amazonaws.com/photos/12275008/medium.jpg,Maniola jurtina,Воловий глаз
9088445,https://inaturalist-open-data.s3.amazonaws.com/photos/12275051/medium.jpg,Ochlodes sylvanus,Толстоголовка лесная
9088455,https://inaturalist-open-data.s3.amazonaws.com/photos/12275074/medium.jpg,Lycaena ottomana,
9088514,https://inaturalist-open-data.s3.amazonaws.com/photos/12275152/medium.jpg,Nymphalis polychloros,Многоцветница
9088553,https://inaturalist-open-data.s3.amazonaws.com/photos/12275215/medium.jpg,Saturnia pyri,Павлиноглазка грушевая
9088575,https://inaturalist-open-data.s3.amazonaws.com/photos/12275244/medium.jpg,Kirinia roxelana,
9088586,https://inaturalist-open-data.s3.amazonaws.com/photos/12275261/medium.jpg,Colias crocea,Желтушка шафрановая
9088615,https://inaturalist-open-data.s3.amazonaws.com/photos/12275294/medium.jpg,Melitaea didyma,Шашечница красная
9088667,https://inaturalist-open-data.s3.amazonaws.com/photos/12275390/medium.jpg,Melitaea didyma,Шашечница красная
9088689,https://inaturalist-open-data.s3.amazonaws.com/photos/12275412/medium.jpg,Polyommatus icarus,Голубянка икар
9088722,https://inaturalist-open-data.s3.amazonaws.com/photos/12275445/medium.jpg,Aricia agestis,Голубянка Агестис
9088808,https://inaturalist-open-data.s3.amazonaws.com/photos/12275557/medium.jpg,Carcharodus alceae,Толстоголовка альцея
9088835,https://inaturalist-open-data.s3.amazonaws.com/photos/12275607/medium.jpg,Colias crocea,Желтушка шафрановая
9088951,https://inaturalist-open-data.s3.amazonaws.com/photos/12275761/medium.jpg,Colias crocea,Желтушка шафрановая
9096034,https://inaturalist-open-data.s3.amazonaws.com/photos/12286269/medium.jpg,Spiris striata,Медведица полосатая
